"preco","nrQuartos","nrWC","Sala_estar_m2","lote_m2","nrAndares","vista","condicao","piso_m2","arrecadacao_m2","Ano_construcao","Ano_renovacao"
313000,3,3,31,712,2,0,3,121,0,1955,2005
2384000,5,4,85,815,2,4,5,303,93,1921,0
342000,3,2,45,1075,1,0,4,174,0,1966,0
420000,3,3,46,723,1,0,4,90,333,1963,0
490000,2,1,20,574,1,0,3,79,0,1938,1994
335000,2,2,31,230,1,0,3,122,0,1976,0
482000,4,4,63,3228,2,0,3,244,0,1989,0
452500,3,4,56,7958,1,0,4,141,287,1985,0
640000,4,2,35,558,2,0,3,137,0,1945,2010
463000,3,4,40,659,1,0,3,154,0,1948,1994
1400000,4,4,68,360,2,0,5,172,337,1909,1988
588500,3,4,54,1340,1,0,3,177,120,1980,0
365000,3,1,25,579,1,0,4,98,0,1955,2009
242500,3,3,28,875,1,0,4,108,0,1965,0
419000,3,3,36,603,1,0,4,141,0,1956,0
367500,4,3,72,651,2,0,3,280,0,1997,0
257950,3,4,32,527,1,0,3,123,0,1987,2000
275000,3,3,27,925,1,0,3,106,0,1983,2009
750000,3,4,52,952,2,0,5,140,230,1923,0
435000,4,1,34,792,1,0,4,131,0,1954,1979
626000,3,3,41,141,3,0,3,132,93,2005,0
612500,4,4,63,1103,2,0,3,246,0,1991,0
495000,4,4,37,574,1,0,3,102,157,1959,1989
285000,3,4,49,975,1,0,4,122,243,1987,0
615000,3,4,55,656,1,0,4,122,333,1948,0
698000,4,3,51,1013,2,0,5,117,300,1920,0
675000,5,4,66,6077,2,0,3,254,0,1979,2014
790000,3,4,60,428,1,0,4,153,300,1951,1999
382500,4,4,36,783,1,0,4,140,0,1967,0
499950,4,4,66,301,2,0,3,197,223,2004,0
650000,4,2,42,450,2,1,3,148,60,1945,2010
625000,4,4,66,757,2,0,3,254,0,2014,0
4e+05,4,4,84,3860,2,0,3,207,443,1979,2014
604000,3,4,75,2984,2,2,3,292,0,1995,0
440000,2,1,19,437,1,0,4,72,0,1944,0
287200,3,3,43,1797,1,0,4,98,253,1992,0
403000,3,2,46,1179,1,2,5,149,103,1957,0
335000,3,3,37,1459,1,0,4,142,0,1978,2000
260000,4,2,34,776,1,0,4,133,0,1974,0
308500,2,1,20,556,1,0,4,77,0,1950,1983
439950,3,4,41,259,2,0,3,159,0,1990,2009
235000,2,1,28,846,1,0,2,109,0,1949,0
315000,3,1,27,826,1,0,3,104,0,1968,1997
437500,3,3,46,3159,2,0,4,177,0,1977,0
407500,3,4,45,941,2,0,3,174,0,1996,0
445700,3,4,30,106,3,0,3,114,0,2001,0
838000,4,4,77,3870,2,0,3,298,0,2001,0
630000,4,5,63,3355,2,0,3,244,0,2000,0
550000,3,4,68,3168,2,0,3,262,0,1979,2014
805000,3,2,63,405,2,0,4,169,277,1929,0
470000,5,4,51,869,1,0,3,131,250,1976,0
430000,4,3,45,900,1,0,4,96,283,1954,1979
491500,4,4,51,11291,1,2,3,197,0,1968,1997
785000,5,4,85,1080,2,2,3,329,0,2006,0
385000,3,4,31,119,2,0,3,94,93,2008,0
295000,2,4,38,123,2,0,3,115,117,2009,0
555000,4,4,77,585,2,0,3,298,0,2012,0
459990,3,4,62,499,2,0,3,241,0,2013,0
625000,4,4,63,4861,1,0,3,140,390,2007,0
3e+05,3,4,59,455,2,0,3,229,0,2006,0
625000,4,5,68,594,2,0,3,263,0,2012,0
553000,2,1,21,450,1,0,3,81,0,1944,0
379880,3,4,38,1265,1,0,4,102,173,1986,0
310000,3,1,23,895,1,0,4,91,0,1973,0
775000,2,4,62,665,1,0,3,241,0,2004,0
628000,4,2,53,541,1,0,3,103,380,1900,2005
560000,3,4,44,787,2,0,3,171,0,1987,2000
9e+05,3,1,31,7017,1,0,3,120,0,1928,1954
531000,2,3,30,106,2,0,3,100,53,2000,0
831000,4,3,50,360,2,0,4,145,187,1982,2011
780000,4,4,63,925,2,2,3,246,0,1996,0
755000,4,4,49,918,1,0,4,146,167,1960,2001
705380,3,4,58,391,2,0,3,224,0,2003,0
627000,4,3,46,694,1,0,3,109,260,1973,2013
580000,2,1,59,630,1,0,5,119,407,1942,0
410000,3,3,42,3303,1,0,4,122,147,1978,2000
485000,4,3,54,634,1,0,4,121,333,1979,0
4e+05,2,4,49,857,1,0,2,190,0,1948,0
549000,2,1,26,486,1,0,5,103,0,1908,0
620000,3,4,34,197,3,0,3,133,0,2005,0
232000,2,1,28,726,1,0,4,108,0,1958,1972
800866,5,4,74,1243,2,0,4,286,0,1990,0
650000,3,3,50,810,1,2,4,126,253,1949,1985
823000,6,4,68,450,3,0,4,250,47,1908,0
770000,3,2,55,513,2,0,4,163,180,1939,1989
524000,3,4,36,497,1,0,4,70,260,1944,0
541125,5,5,64,758,1,0,4,123,457,1960,2001
670000,3,4,39,180,3,0,3,151,0,1909,1998
384900,5,4,72,1148,1,0,3,158,447,1968,1997
406100,3,3,33,120,3,0,3,127,0,2005,0
1395000,5,5,93,766,2,1,5,257,387,1971,0
736500,4,4,74,1971,2,3,3,286,0,2000,0
570000,3,3,47,540,1,0,3,120,227,1975,0
787000,3,4,31,675,1,0,3,120,0,1961,2004
435000,5,2,43,832,1,0,4,139,100,1942,1958
499000,4,4,68,583,2,0,3,262,0,2006,0
501000,4,1,48,677,1,0,3,104,303,1963,2008
1090000,4,4,101,12741,3,0,3,391,0,1992,0
4e+05,2,1,20,496,1,0,3,76,0,1955,2005
220000,4,3,29,864,1,0,3,112,0,1971,0
657100,4,1,32,382,1,0,3,95,113,1924,2011
309950,4,5,54,450,2,0,3,208,0,2006,0
3e+05,3,2,24,906,1,0,3,95,0,1986,0
525888,5,4,59,6469,1,0,5,163,247,1960,0
740000,4,4,47,324,2,0,3,181,0,1902,0
340000,5,1,26,812,2,0,4,101,0,1962,0
398750,3,4,52,360,2,0,3,201,0,1954,2005
1030000,5,5,74,1523,1,3,3,152,500,1976,0
6e+05,3,4,39,3568,1,0,4,150,0,1976,1992
379950,4,4,46,845,1,0,5,103,277,1960,0
287000,3,1,34,540,1,0,4,131,0,1953,1983
309950,3,4,44,705,2,0,3,169,0,1994,0
6e+05,3,4,44,572,1,0,4,94,280,1945,0
418000,3,2,33,543,2,0,4,127,0,1930,0
449250,4,2,34,346,2,0,5,133,0,1928,1970
329950,2,1,26,473,2,0,4,103,0,1949,1985
245000,3,4,45,838,1,0,3,90,307,1984,0
549000,4,4,68,570,2,0,3,262,0,2008,0
8e+05,3,4,75,707,2,0,3,292,0,1994,0
249950,3,2,36,1354,1,0,4,140,0,1958,1972
210000,5,2,48,918,1,0,3,129,207,1956,2001
1425000,2,4,52,360,2,0,3,200,0,2000,0
585000,2,1,41,778,2,0,3,137,83,1949,1998
615000,4,4,53,1053,1,0,4,176,113,1977,0
618500,3,2,42,450,1,0,4,97,240,1942,1982
487585,4,4,47,829,1,0,3,132,180,1977,2004
509900,3,4,42,243,2,0,3,161,0,2010,0
631625,4,4,57,599,2,0,3,220,0,2014,0
555000,3,4,45,289,2,0,3,175,0,2009,0
340000,2,3,27,129,2,0,3,104,0,2001,0
830000,4,4,79,872,2,0,3,306,0,2007,0
890000,4,5,103,518,2,0,3,307,337,2006,0
366750,3,3,37,182,3,0,3,141,0,2008,0
415000,3,3,38,90,3,0,3,139,27,2010,0
416286,3,4,33,89,3,0,3,127,0,2005,0
478000,3,4,71,408,2,0,3,274,0,2007,0
890000,5,5,104,540,2,0,3,288,430,2006,0
419190,2,4,37,128,2,0,3,143,0,2014,0
712198,4,4,57,382,2,0,3,221,0,2013,0
397000,4,2,33,691,1,0,3,108,80,1971,0
450000,2,2,26,270,2,0,3,99,0,1912,2005
353000,3,1,31,697,1,0,4,77,163,1947,1988
